"mmsi","Foreign_EEZ_Percentage","HighSeas"
"718",1,0
"876",0,0
"79050",1,0
"12000001",0,1
"32004580",1,0
"33004580",1,0
"98344746",0,1
"98345923",0.95736245165903,0.0426375483409704
"100901039",1,0
"100902573",0.819240330481831,0.180759669518169
"111111126",0,0
"150443127",0.215696138850459,0
"200000216",0.0183279614021741,0.981672038597826
"200004544",0.999794069192751,0.000205930807248764
"200005873",0.997517188693659,0.00248281130634072
"200008650",0.428083793135696,0.571916206864304
"200012314",0.0914895123348329,0.000682229216144375
"200015925",0,0.993594738440814
"200016052",0.463186319681788,0.536813680318212
"200016065",0.0346243624103052,0.000108066049969742
"200016069",0.204878166815883,0
"200020753",0,0
"200020783",0.194219197182065,0
"200020789",0,0.397494033412888
"200021400",0.0141365618733996,0.9858634381266
"200021405",0,1
"200021422",2.76860038022112e-05,0.999972313996198
"200021441",0.785198855097988,0.214801144902012
"200023344",0.190909374123804,0.0451104395775569
"200023437",4.45761918559298e-05,0.999955423808144
"200023459",0.000847094067433051,0.999152905932567
"200023583",0.632840501792115,0
"200023608",0,0.00331966255468983
"200033044",0.00125894213397587,0.998741057866024
"200041771",0,0
"200042058",0.980209531028192,0.0197904689718077
"200042240",0.799034629173426,0.200965370826574
"200601254",0.00468348693156066,0.00596766883214987
"200995958",0.98100570632518,0.00600101802984435
"201601318",0.14537110520686,0.00862634139608709
"201601321",0.645509324190951,0.354490675809049
"201601323",0.77475711236004,0.22524288763996
"201601542",0,1
"201601565",0,1
"201601665",0,1
"201700001",0.00410793965578299,0.000602025639209576
"201707002",0,0.999809023025457
"201941909",0,1
"224017000",0,1
"224050000",0.000314755015679463,0.999685244984321
"224051350",0.00569520011160623,0.992113707050067
"224063790",0.0214043947127815,0.978595605287219
"224085000",0.0132946192800558,0.986705380719944
"224118000",0.0991812865497076,0.900818713450292
"224122000",0,1
"224154000",0.00241460608890762,0.997585393911092
"224156000",0.00277230521126878,0.997227694788731
"224166160",0.000484712177908758,0.999515287822091
"224196000",0,1
"224256000",0.000363146400593056,0.999636853599407
"224313000",0.013969020786194,0.986030979213806
"224318000",0.00294748124330118,0.997052518756699
"224342000",0.000119596316433454,0.999880403683566
"224366000",0.00331404993997413,0.996685950060026
"224392000",0.0194144144144144,0.980585585585586
"224406000",0.002483731443948,0.997516268556052
"224456000",0.0103303391847351,0.989669660815265
"224544160",0.0553984118004484,0.944601588199552
"224581000",0.0697426823416507,0.930257317658349
"224591000",0.0104058272632674,0.989594172736733
"224619000",0.0148895875156244,0.985110412484376
"224626000",0.0350884889750722,0.964911511024928
"224696000",0.0183257675781341,0.981342987641304
"224892000",0.0180552665668817,0.981944733433118
"224900000",0,1
"224918000",0.00226042011421811,0.997739579885782
"224987000",0.0468907552499233,0.953109244750077
"224992000",0,1
"225374000",0,1
"225983597",0.0204367685939965,0.979563231406003
"228227000",0,0
"228966000",0,0
"263580000",0,1
"263583000",0.00710099764273151,0.992899002357268
"263821000",0.00240680936654047,0.99759319063346
"268000015",0,1
"303114000",0,0.905502786990571
"303174000",0,0.799462545228161
"303513000",0,0
"303835000",0,0.268866508883832
"321321362",1,0
"338077000",0.000375812694952836,0
"338081000",0,0
"338502000",0,0.98491440461553
"354153000",0.000161537134986106,0.99917266791676
"366135000",0,0.787927264799985
"366721530",0,0.962401719148661
"366827010",0,0.731830904848861
"366909230",0,0.886785724633321
"366909880",0.00429805405255032,0.993121722559915
"366920620",0,0.428240313956857
"366928330",0.00055235236458878,0
"366937120",0,0.765232165716281
"366939000",0,0.458039090163443
"366981180",0,0.665692950699488
"367003760",0,0.953424084134888
"367018980",0,0.645963087660381
"367045610",0,0.727662846717777
"367045620",0,0.784328411916953
"367111320",0,0.623635971437403
"367114110",0,0.678643973337049
"367128430",0,0.898890996528953
"367131270",0,0.325978868862648
"367132820",0,0.682693448049078
"367135280",0,0.750287107131976
"367137680",0,0.802878666947551
"367140060",0,0
"367140260",0,0.930740166662337
"367142780",0,0.823447380442884
"367150430",0,0.990094262390943
"367151660",0.00100490186381602,0.688045228496485
"367152680",0.188186813186813,0.811813186813187
"367159690",0,0.568585442013181
"367161340",0,0.964455658641575
"367306510",0,0.658023739020081
"367330610",0,0.912419917105271
"367338850",0.00227930128683422,0.997720698713166
"367341510",0,0.609968884931011
"367343000",0,0.740877357743355
