"mmsi","alb_cc","bet_cc","other_cc","swo_cc","yft_cc"
"412328755",0.703287596753969,0.0365976895824653,0.0500991957405101,0.0105730226238184,0.199442495299237
"412328756",0.620848941659141,0.0401695891002564,0.0691379011910151,0.0109753868999259,0.258868181149662
"412328757",0.665722906822943,0.0411917516964374,0.0623074336243843,0.0104480809958984,0.220329826860337
"412328758",0.68963647165745,0.0362177426730405,0.0541515881507043,0.0114306224117349,0.20856357510707
"412328761",0.658675806033022,0.0441182664108595,0.0567491382229821,0.011818580896059,0.228638208437077
"412328793",0.318319815959471,0.23911325557024,0.0911341806999109,0.0338540235777664,0.317578724192612
"412328795",0.389524043479704,0.19788262510767,0.0892955191531189,0.0883431055130948,0.234954706746412
"412328796",0.126689384534718,0.352379017826238,0.211336510412919,0.0795449168644123,0.230050170361712
"412329402",0.88846105244586,0.00742627371412631,0.0229195823786488,0.00879482050340587,0.0723982709579589
"412329408",0.636127575917408,0.0346750664842116,0.112383214626895,0.0206147161557556,0.196199426815729
"412329416",0.264663268379776,0.126852113488966,0.0756838293169287,0.0130524700856577,0.519748318728672
"412329417",0.211563117518556,0.291809661597247,0.120798509010362,0.02439890612496,0.351429805748874
"412329418",0.092633620866065,0.442618828669053,0.144294792234573,0.0391619519838905,0.281290806246418
"412329422",0.0953373432187487,0.466124569636813,0.129104617716074,0.0880431532365573,0.221390316191807
"412329423",0.291771982653798,0.272699481426168,0.112261967821336,0.0281007315168761,0.295165836581823
"412329425",0.324085422284237,0.256213476939145,0.0888815022945468,0.0219102648803549,0.308909333601717
"412329426",0.305609626994799,0.076593171127114,0.0727891067488586,0.0153877547767419,0.529620340352487
"412329428",0.765660801428054,0.106764236296588,0.0411196977948925,0.0658354561021874,0.0206198083782784
"412329459",0.607618960897947,0.0778095891612231,0.124391926779939,0.0235287480952119,0.166650775065679
"412329461",0.478955601555619,0.134372792555361,0.14302220607898,0.0351617642022211,0.208487635607818
"412329557",0.278725326809351,0.341716056249236,0.140146007842473,0.0449129842996065,0.194499624799333
"412329588",0.399647510601062,0.231557426709697,0.160041349427715,0.028732560129936,0.18002115313159
"412330102",0.770374375479103,0.0407507170545656,0.0900697372646811,0.029124115212551,0.0696810549890991
"412330103",0.632386739211502,0.0957121410376404,0.104495602346383,0.0259553032245239,0.141450214179951
"412330104",0.721740108662248,0.0639539620582961,0.0877893507161629,0.0333228385637757,0.0931937399995169
"412330105",0.586642997139746,0.101424729911164,0.108105657376746,0.0398398787930102,0.163986736779334
"412331009",0.459690317795494,0.138916690891581,0.11384085235805,0.0216507305559017,0.265901408398973
"412331011",0.537009006781353,0.082133297219579,0.109184990199776,0.0127967656565409,0.258875940142752
"412331012",0.624473131816861,0.0612860464316445,0.104628076154279,0.0119934682502891,0.197619277346926
"412331013",0.575670674163506,0.0744554275523472,0.0859334680588347,0.0114469244656954,0.252493505759616
"412331026",0.0367872267757271,0.585339909768245,0.112850869534985,0.180455296446965,0.0845666974740788
"412331027",0.0223058705328953,0.547845451638206,0.171527656597428,0.118124911223367,0.140196110008105
"412331028",0.0157696837971318,0.51612896236099,0.167283282107164,0.140467310511873,0.160350761222841
"412331029",0.0212416670251242,0.549606175066603,0.169584920549849,0.109390007464116,0.150177229894308
"412331031",0.0230529244435668,0.537781948014414,0.165009265709161,0.0947860615295336,0.179369800303324
"412331032",0.0231329760041477,0.534995408574642,0.179171042033183,0.115965534987461,0.146735038400566
"412331033",0.0232634300672633,0.548180548859056,0.178154704193554,0.114476358317889,0.135924958562238
"412331063",0.211649425162456,0.323169545009102,0.126571758128021,0.0283374714544878,0.310271800245933
"412331064",0.371251718825862,0.212022745834755,0.0942644261384985,0.0299327782212332,0.292528330979651
"412331099",0.682385461104149,0.0283131247098673,0.0635614938332847,0.00806421552447175,0.217675704828227
"412331101",0.687136472589922,0.0358721106700364,0.0497848802225153,0.00902310333235999,0.218183433185166
"412331102",0.681896486477796,0.0347683971993421,0.0518786269031806,0.00880753055466192,0.22264895886502
"412331103",0.671121179304929,0.0350047116836998,0.0585360880446813,0.00887723200665267,0.226460788960037
"412331104",0.670573028159663,0.0377008695797621,0.0463556088705092,0.00867210400908461,0.236698389380981
"412331105",0.718988047158246,0.0281313599563926,0.0573077080444117,0.00874012139843037,0.18683276344252
"412371191",0.0120701377208495,0.591984530332744,0.179868496051524,0.0699327382807072,0.146144097614175
"412371192",0.0495240395571798,0.513980038113244,0.142496682031089,0.172753940395557,0.12124529990293
"412371197",0.150729143375244,0.365268218240192,0.116695085677949,0.0284773414370388,0.338830211269575
"412371198",0.0809533439942731,0.42007972327005,0.116295202600985,0.0348431550186347,0.347828575116057
"412371206",0.104779601330945,0.457844843153124,0.113948592800759,0.0535289691111954,0.269897993603977
"412371207",0.0793526672188929,0.432205422760098,0.125588857046057,0.0654492071971676,0.297403845777784
"412371208",0.0606338006434531,0.447706065504544,0.130013164549476,0.0700169823704507,0.291629986932076
"412400154",0.715472733824048,0.129194291344107,0.030584329568616,0.0846562033353919,0.0400924419278373
"412420195",0.525240641402067,0.161195645191612,0.101440841238279,0.0362628463811542,0.175860025786888
"412420236",0.578624517493371,0.117679428703899,0.0806123547216234,0.0728765086957548,0.150207190385352
"412420237",0.634177383741975,0.108564819960184,0.0665379834449245,0.0697346189729524,0.120985193879964
"412420238",0.592217479341808,0.113559417749701,0.0703457283260311,0.0740205717688081,0.149856802813651
"412420239",0.509272770814193,0.0760853451915118,0.0148204047868667,0.209011068319595,0.190810410887833
"412420433",0.529401128225479,0.201725783570512,0.0484676467214455,0.178863198230896,0.041542243251667
"412420434",0.693622830484614,0.0359789929239533,0.0487719733473692,0.0119466618471116,0.209679541396952
"412420435",0.566833202156636,0.198833393647852,0.0473693907493444,0.14447164434955,0.0424923690966174
"412420436",0.626151761658357,0.111443415176207,0.0747275323336524,0.0192161898289122,0.168461101002872
"412420582",0.808640515025999,0.0752687849402943,0.0292215926481007,0.0492139729237438,0.037655134461862
"412420583",0.756134701046976,0.108388624795184,0.0262684681274666,0.0736083525146977,0.0355998535156758
"412420585",0.750986406687785,0.108432386059229,0.0309318861888503,0.074497079569856,0.035152241494279
"412420792",0.742538090903934,0.0858457901460424,0.05084279758137,0.0613020717887622,0.0594712495798919
"412420793",0.747900264404713,0.0855327921142142,0.0410414747473573,0.0688717136155267,0.0566537551181885
