"mmsi","length","tonnage"
"412200461",48.4,559
"412699550",26.4,100
"412460112",38.15,296
"413341000",35.08,192
"412695570",52.6,575
"412329422",40.03,276
"412326876",37.53,255
"413344000",34.82,192
"412420939",44.12,498
"412331085",55.6,584
"412007970",37.7,479.27
"412329416",37.74,255
"412331012",40.87,307
"412320028",37.48,219
"412328792",37.08,308.7
"412440552",44.74,538
"412440035",37.91,282
"413462010",42.18,432
"412329461",35.16,255
"412465078",30.42,149
"412331029",55.4,698
"413204950",46.56,498
"412420847",44.53,460
"412326893",35.5,255
"412333794",41,432
"412691530",31.98,164
"412500157",32.7,225
"412464117",31.71,149
"412331031",55.4,698
"412331099",27.4,157
"412678050",37.32,303
"412699530",26.5,107
"412420811",46.59,473
"412421186",46.56,496
"412695580",55.2,634
"412326903",33.74,223
"412002275",20.3,40.16
"413340000",34.82,192
"413322680",35.6,190
"412460075",38.15,296
"412440235",44.74,482
"412328758",37.37,270
"412421199",44,455
"412463905",44.19,471
"412326904",35.67,223
"412699570",26.5,100
"412699560",26.5,100
"412470420",34.57,225
"412421095",48.7,646
"412699540",26.5,107
"412460055",30.24,193
"412328795",40.41,336
"412679040",25,119
"412460297",37.6,295
"412483615",38.92,282
"412209234",35.75,271
"413342000",34.82,192
"412440694",44.79,545
"412336911",37.37,329
"413345000",34.82,192
"412694640",51.9,523
"412420583",42.47,394
"412463904",44.19,471
"412699440",27.81,117
"412342552",24.61,108.62
"412421025",39.27,317
"412328714",51.23,653
"412699460",27.2,117
"412440551",44.74,538
"412678036",43.36,527.5
"412421188",44,455
"412420849",44.43,460
"412440548",44.74,538
"412420877",44.19,474.5
"412440011",41.57,441
"412270001",52.69,602
"412694610",28.05,150
"412331105",27.4,157
"412440233",44.74,482
"412440582",45.83,475
"412463903",44.19,471
"412460053",32.74,198
"412992000",48.6,497
"412331101",27.4,157
"412440238",44.74,482
"412002099",22.2,52.24
"412326882",36.94,255
"412329424",40.03,276
"412695640",52.6,634
"412460282",41.02,302
"412440578",45.83,475
"412209076",54.61,577
"412500245",37.14,228
"412420433",39.28,299
"412691550",26.98,157
"412460113",38.15,296
"413322770",34.67,190
"413300480",51.65,573
"413003409",22.1,49.89
"413226868",23.96,58.76
"412420902",44.3,462
"412440564",44.53,531
"412302021",59.53,650.7
"412465075",30.42,149
"412420865",43.45,428
"412326798",38.12,271
"412694830",50.12,484.79
"412330104",40.17,316
"412460074",38.15,296
"412460073",38.15,296
"412687140",24.68,119
"412985000",52.5,497
"412209077",55.1,619
"412333795",41,432
"412460004",32.74,196
"412320019",50.97,577
"412371207",46.55,560
"412421081",22.5,107
"412549004",26.73,215
"412460286",41.02,302
"412699520",24.5,84
"412420584",42.47,394
"412679030",24.7,119
"412420944",44.12,498
"412689520",27.86,120
"412331164",49.8,498
"412676580",41.45,249
"412331064",37.56,276
"412002127",22.15,59.88
"412693340",37.32,303
"412371198",46.66,411
"412421089",41.69,428
"412484402",41.5,253.33
"412420239",38.42,297
"412691520",32.35,164
"412549105",38.8,314
"412007967",45.24,596.05
"412420794",42.3,396
"412331013",39.72,307
"412499942",39.69,315
"412440009",41.57,572
"412420848",44.3,460
"413204940",46.56,498
"412328798",40.41,336
"413691210",44.71,480
"412201817",35.75,271
"412699950",30.42,149
"412371192",52.13,577
"412689320",31.27,225
"412007969",47.37,651.03
"412007968",43.95,579.74
"412695770",49.61,619
"412420819",46.59,473
"412205520",48.6,626
"412326861",38.22,392
"412549002",34.63,215
"413270220",52.58,619
"412440563",44.53,531
"412329418",39.17,276
"412328756",37.37,270
"413343000",34.82,192
"412695610",53.01,524.77
"412326902",36.13,223
"412687150",24.3,98
"412420911",43.63,461
"412689530",27.86,120
"412326875",37.53,255
"412331103",27.4,157
"413003484",22.46,68.49
"412420876",48.42,510
"412331026",50.36,577
"412549034",47.6,502
"412694840",50.48,579
"412331163",49.8,498
"412460287",41.02,302
"412421091",41.69,428
"412440801",46.39,604.52
"412329425",40.03,276
"412420914",43.63,461
"412420795",42.3,396
"412421185",46.56,496
"412463406",41.02,302
"412460111",38.15,296
"412420892",47.33,496
"412320023",33.76,199
"412549003",34.81,215
"412549103",38.8,314
"412420596",42.97,345
"412695560",52.6,634
"412549104",38.8,314
"412440553",44.74,538
"412421077",22.5,107
"412420813",46.59,473
"412420915",43.63,461
"412695630",52.6,634
"412460009",32.74,196
"413270430",52.59,509
"412420852",41,460
"412549055",59.59,859
"412331009",38.36,307
"412420851",43.98,460
"412371206",46.55,560
"412320021",52.38,619
"412475113",30.46,159
"412336912",37.38,329
"412371197",46.66,411
"412326906",33.74,223
"413501950",28.16,165
"412328761",36.52,270
"412420237",39.44,297
"412460115",39.11,296
"412467335",30.42,149
"518100456",27.3,84.44
"518100458",27,79.03
"518402000",30.96,138
"518100601",53.51,603.5
"518071000",26.43,119
"518100457",27.3,79.34
"518107000",40.78,137.84
"518206000",32.06,275
"518100455",27.3,84.44
"518260000",28.09,97.01
"518676000",24.65,70
"518259000",22.1,114
"518100073",26,181
"321321362",26.52,118.83
"735059247",56.54,571.61
"735059233",41.07,700
"735058806",54.58,511.33
"735057853",35.08,132.13
"735059255",55.97,546
"224050000",43.82,517.92
"224987000",43.5,494.7
"224085000",40.8,490
"225983597",28,173.66
"224544160",28.6,195.05
"224154000",46.45,361
"224696000",39.35,399
"224392000",36.49,321.5
"224581000",36.16,317
"224122000",41.51,423.83
"224900000",32.77,398.03
"224166160",37.49,231.83
"224196000",43.22,554.93
"224342000",41.21,664
"224591000",46.12,411.43
"224626000",47.7,430.07
"224892000",29.35,162.32
"224366000",42.48,430.5
"224619000",40.98,407.5
"224051350",34,245.5
"224313000",44.45,612.7
"224918000",43,499.5
"224017000",43.5,488.97
"224118000",40.33,495
"224992000",44.5,459.1
"224406000",40.06,442
"224318000",47.77,560.84
"224456000",44.48,540
"224063790",28,134.3
"224256000",44.23,534.13
"224156000",37.6,264
"225374000",42.46,322.81
"520076000",32.23,136
"520179000",36.6,171.35
"520204000",36.6,218.13
"520174000",36.6,193
"520137000",36.6,171
"520187000",29.1,108
"520250000",39.28,375
"520315000",34,154
"520075000",33.04,136
"520234000",42.6,199
"520012000",25.94,102
"520223000",39.6,264
"520241000",41.5,269
"520271000",30.03,191
"520313000",34,154
"520028000",26.54,158
"520085000",22.69,108.48
"520033000",28.15,113
"520248000",24.27,104
"520312000",34,154
"520238000",32,307.83
"520225000",29.7,98
"520171000",36.6,193
"520172000",39.6,198
"520074000",32.61,136
"520116000",27.41,93.52
"520151000",37.26,198
"520143000",36.6,193
"520130000",36.6,191
"520180000",36.6,193
"520217000",32,179
"520177000",36.6,193
"520332000",26.43,188
"520218000",32,179
"520023000",34.03,143
"520231000",42.6,199
"520170000",36.3,117
"520314000",34,154
"520145000",36.6,193
"520100000",28.9,135
"520019000",32,180
"520020000",32,158.68
"520243000",40.5,250.87
"520077000",32.23,136
"520088000",32.04,113
"228966000",24.95,150
"228227000",21.5,131.5
"510060013",27.64,129
"510034000",24.54,139
"510012000",27.38,113
"510053000",27.75,96
"510013000",27.36,113
"510035000",24.81,139
"510051000",29.7,96
"510052000",29.7,96
"510033000",26.26,112
"510038000",22.44,136
"510014000",27.36,113
"431501883",18.95,19
"431008785",20.06,38.35
"431011256",19.91,40.94
"431245000",50.59,596.5
"431007028",19.23,29.16
"431004389",23.93,19
"432367000",50.57,549.5
"431457000",50.98,549.5
"431380000",54.61,585
"431700090",49.39,478
"431600150",14.83,19
"431501647",23.87,19
"431003515",16.62,19
"431010244",16.67,41.67
"431012755",22.79,51.66
"431011378",20.5,65.55
"431680190",15.7,19
"431601130",21.85,14
"431680470",15.49,18
"431600230",21.01,19
"431600850",17.46,19
"431008869",18.31,34.83
"431008505",18.24,36.23
"431012063",20.52,46.83
"431600065",16.3,19
"431009407",19.91,66.49
"431602090",14.9,19
"431500880",17.86,19
"431009005",25.14,42.55
"431602237",17.54,17
"431009039",22.65,50.7
"431601320",14.57,17
"431008883",20.75,34.01
"431007076",18.64,28.48
"431013572",18.95,19
"431715000",16.5,19
"431501724",18.31,19
"431007123",21.02,47.11
"431012149",22.43,52.77
"431500801",21.05,19
"431517000",31.2,194.5
"431010724",21.38,73.66
"431007286",24.35,58.5
"431000964",22.32,79.48
"431601570",14.07,18
"431007091",19.95,36.91
"431011024",16.91,34.66
"431600610",20.27,34.5
"431007622",21.55,49.05
"431704230",43.44,492
"431603270",19.41,18
"431000713",18.96,19
"431004286",25.35,19
"431010233",16.37,34.74
"431014106",18.68,47.12
"431600470",14.95,19
"431007141",20.84,50.69
"431500130",21.76,19
"431012128",18.89,42.52
"431005009",17.86,19
"431680154",15.95,19
"431680210",16.95,19
"431011412",21.19,53.07
"431680740",16.09,18
"431600740",14.91,19
"431100990",50.4,492.5
"431601326",14.96,19
"431800607",23,84.94
"431003491",19.81,19
"431009629",20.83,36.26
"431601572",16.22,19
"431007088",22.69,67.71
"431603230",20.75,43.92
"431501733",14.95,14
"432346000",50.6,549.5
"431010018",23.77,18
"431600420",16.76,19
"431009023",20.34,41.28
"431010651",16.18,38.01
"431680136",15.72,19
"431200541",17.8,19
"431100610",52.6,585
"431600220",31.27,179.67
"431009352",18.25,49.88
"431010152",21.84,78.28
"431007621",20.8,51.77
"431501697",14.88,14
"431009354",19,57.39
"431009021",22.52,43.91
"431004082",27.66,162.28
"431501683",20.98,19
"431500460",50.38,478
"431680160",16.49,18
"431703560",51.72,514
"431206000",52.69,527
"431500990",50.38,543.5
"431602420",27,75
