"season","mmsi","xcg","ycg"
"Winter",416003073,187.455936542357,4.69369301197925
"Winter",416222700,178.362479925015,-5.16636718504421
"Winter",431704070,155.358714577069,4.54531511636926
"Winter",440045000,175.139409199827,11.1719534901992
"Winter",440703000,177.657786687157,8.33108961568492
"Winter",440705000,176.686089874796,7.42207677856185
"Winter",440809000,178.039203436628,9.50282587011936
"Winter",440954000,179.594648457576,9.16957055291625
"Winter",441018000,179.686695053215,7.87258803925483
"Winter",441374000,177.339737157264,5.89157264418531
"Winter",412328714,202.000412821758,3.78767865815583
"Winter",412500157,172.861912929737,-9.04422863348059
"Winter",412685210,214.796701802108,-6.06678729295186
"Winter",416002596,181.38483539034,-4.08734888483434
"Winter",416003561,157.276230528495,-6.19635641737549
"Winter",416086600,201.705950389063,-0.508490959190401
"Winter",440807000,180.636870010428,8.94845708751427
"Winter",441043000,223.784485474325,-5.50680441030403
"Winter",441584000,191.595110581463,4.9671042901512
"Winter",576699000,196.070566713797,0.824177633566569
"Winter",577309000,193.542316442896,1.07490449974721
"Winter",431680280,132.960097479638,6.46650740716988
"Winter",440055000,197.36905121722,0.709597779650673
"Winter",441098000,176.010816132026,9.4761656341702
"Winter",412201818,169.938977271351,-12.9661531286719
"Winter",412300365,171.932907873672,-12.638693639936
"Winter",412329416,154.714240902464,-8.2591004815693
"Winter",412371207,195.567134916319,-3.50087401301877
"Winter",416003097,165.731117691063,-7.5330263075543
"Winter",416004214,180.95986699208,-3.16689007411316
"Winter",416004501,219.621329861308,-4.17060478599443
"Winter",416168500,212.562863329749,-5.16617181540236
"Winter",416193900,160.879310697417,-5.9459716468322
"Winter",440574000,187.659442720312,2.45672692415134
"Winter",440620000,187.689947287825,3.19534334991582
"Winter",440648000,190.344185023411,2.98734154542312
"Winter",440885000,179.95615742991,7.32529691211401
"Winter",440941000,180.860091075106,6.06330418852285
"Winter",440963000,220.565031432974,-4.56586009244992
"Winter",440986000,182.223802341742,7.81645248443142
"Winter",577145000,201.166794847114,0.964595529411022
"Winter",416198800,147.884833844362,10.0333587829776
"Winter",416240800,159.052001714651,3.28154114811353
"Winter",440246000,211.713937765833,-3.29837090393842
"Winter",440820000,178.671020421569,3.31771669634777
"Winter",440821000,179.192140615822,6.20503684157666
"Winter",412201817,169.755894875014,-10.8029206140851
"Winter",412331026,214.766158461267,-4.7706108464208
"Winter",412331033,203.333528668208,0.536575484502333
"Winter",412674190,190.166582187716,1.99487686677876
"Winter",416003854,202.824687823634,-0.845572987965289
"Winter",416004043,181.239432393411,-3.6051025449232
"Winter",416004044,161.909967281309,-7.06298258578972
"Winter",416004084,188.836931485551,-0.414009520427651
"Winter",431700060,154.095068766684,-10.4976976265722
"Winter",440636000,187.801300810638,3.43413215057211
"Winter",440645000,184.298925902137,6.12080900385379
"Winter",440656000,216.003261605272,3.23812642476946
"Winter",440788000,211.492327240161,-3.18507396567992
"Winter",441680000,206.774273163357,-2.43659566033735
"Winter",520232000,172.276317023867,-4.11468801304459
"Winter",735059255,256.615154230534,-4.50996753041388
"Winter",412695650,210.651190169432,-8.94789003536525
"Winter",412695760,219.064227085656,-0.220078955793241
"Winter",413300480,208.786998436345,5.58255870249334
"Winter",416004662,147.646533362721,3.05298845260623
"Winter",412679230,212.935639740835,-4.37940797460339
"Winter",416002681,161.983671485703,-7.04994238719176
"Winter",416003803,219.441940548461,0.23289590747331
"Winter",416004502,217.663523919358,-0.204686990748866
"Winter",440780000,190.202587282593,0.416355520057302
"Winter",412667940,204.984687875868,4.12991423119793
"Winter",416233500,158.551877226244,6.41605552682983
"Winter",510051000,160.250294314248,7.40119621282412
"Winter",510052000,157.426900551699,6.97138373965335
"Winter",413322670,172.088756526569,-11.9468316978337
"Winter",416000235,161.513522036189,-2.00614535625798
"Winter",412440238,234.837642416599,5.97444749543682
"Winter",412460004,168.472987427413,-4.5496069354662
"Winter",416232900,158.317151310936,6.21950582257684
"Winter",440801000,177.239331085022,6.29991980880899
"Winter",416004073,159.567185122038,-6.65184401139706
"Winter",416368000,215.021952092211,-4.47367088868536
"Winter",431500430,188.596908267754,7.03798543559737
"Winter",416697000,194.423694414326,6.43601966007741
"Winter",577326000,210.069015714414,-2.65903129400485
"Winter",412209077,223.615958029588,-2.98165042726508
"Winter",416003074,159.513979060511,-9.98518726343745
"Winter",416004268,160.832818965399,-6.78388607838555
"Winter",577146000,203.040137690527,1.3996067702853
"Winter",412460007,157.100664892015,5.93104214596307
"Winter",412460112,137.577963886909,9.46478260869565
"Winter",412460116,154.134721120581,5.50416167412033
"Winter",412658760,167.318854041962,5.63913026381328
"Winter",510053000,158.01507534205,7.1750496070429
"Winter",412205140,222.161323176165,-1.10779851613653
"Winter",416003955,161.269950345806,-9.5438371376215
"Winter",416004248,193.735221534036,-3.64152140362752
"Winter",416004759,217.456256563553,-12.1347642785866
"Winter",416069700,161.807109549732,-8.98709400627365
"Winter",431101320,206.486475435278,-1.71288680003529
"Winter",577319000,249.188638596032,-8.15549079955471
"Winter",412460005,157.02280637516,6.0945169365147
"Winter",412460054,158.042033818694,6.38944619651524
"Winter",412698150,168.633290863788,8.11831222416384
"Winter",412699460,168.108560255782,8.55896206864998
"Winter",510013000,167.705282544765,6.87552256120269
"Winter",510014000,167.574844596298,5.93552811176895
"Winter",412694830,205.900668944526,2.80505481275488
"Winter",412695770,204.737975399048,2.26106114804441
"Winter",416003741,159.863387189626,-8.80120892605554
"Winter",416234900,159.759650505569,-9.02105985900615
"Winter",432346000,251.057085313061,-9.61414370182663
"Winter",412328795,217.52007591578,-10.4043286121416
"Winter",416342000,227.545044676853,-7.83242757040359
"Winter",431500180,238.329187317131,-8.44148748486839
"Winter",431500530,195.753869670153,19.392226468222
"Winter",431602040,242.925400516213,-9.00968086627386
"Winter",431703560,238.663792501182,-9.83027607888484
"Winter",431869000,231.844172195189,-11.6805104101432
"Winter",576753000,187.629451117749,-10.2394223950835
"Winter",416000853,135.307412364743,6.72139878268711
"Winter",431154000,221.578643262444,0.498104442496656
"Winter",431613000,248.884256353234,-9.12461515928669
"Winter",432343000,245.972187060867,-10.7885581139744
"Winter",432454000,238.982408016751,-6.80703340313092
"Winter",576695000,188.276011895815,-10.8863751046789
"Winter",576754000,190.959655936024,-14.7046382268483
"Winter",412460053,156.442267362617,7.76865513289139
"Winter",412465076,168.147346951081,7.39464589681866
"Winter",412465078,167.82366171498,8.2927980509859
"Winter",412467335,167.103843052943,7.54318573438513
"Winter",431680480,148.035008261712,8.30673299810991
"Winter",538060012,168.328047871018,8.66719343726695
"Winter",431701720,241.043719775784,-7.58707969008155
"Winter",431703660,230.497548512503,-12.2765077587059
"Winter",432515000,240.690569693108,-6.91854662994101
"Winter",432924000,246.503831115206,-9.13491738903277
"Winter",412205520,221.2444747017,-2.46577442407277
"Winter",431100990,254.399307419871,-11.1950848867546
"Winter",431700660,242.671271492835,-8.19575482954884
"Winter",520271000,177.826381551109,-3.20122650063471
"Winter",431918000,149.675767830697,9.75997453251948
"Winter",431704230,245.526482335689,-10.2323743119381
"Winter",431680580,145.650602480763,8.61052334191289
"Winter",432374000,254.308660850044,-11.356842624804
"Winter",412440237,239.620836976889,9.12222985633979
"Winter",412460052,153.455777298858,7.99863772365017
"Winter",431680150,146.603223445382,9.2620399367321
"Winter",431700030,156.811849855707,0.921602514264631
"Winter",432971000,152.93016374269,-8.71369021653232
"Winter",372702000,237.789280708173,-8.13042735570687
"Winter",412326799,226.261672973906,-14.3756060063669
"Winter",431702990,153.705250482019,-11.3422117794065
"Winter",520218000,236.761235135258,-6.97423453230849
"Winter",412440234,229.337178473436,8.85106826286699
"Winter",431245000,250.635137781309,-9.78459857536113
"Winter",440517000,239.515292730101,-12.7399296956548
"Winter",440612000,238.889483694621,-5.75885843362059
"Winter",440792000,240.940294044253,-9.9429210553016
"Winter",441251000,209.451240161537,-1.11885653038449
"Winter",440617000,181.345041894975,8.28671033835789
"Winter",431204000,236.194880932721,-9.78289724873667
"Winter",431382000,254.001236445823,-11.9119130941966
"Winter",431700830,242.237080499687,-8.92457161690703
"Winter",432990000,237.6051558753,-8.08461651731247
"Winter",412460296,194.168438354361,-10.8889801204855
"Winter",413462010,232.848512961024,-11.3438076862385
"Winter",416239700,158.47428832572,-10.3740818062479
"Winter",431361000,250.07235468427,-10.9694773695533
"Winter",431500040,238.108411021454,-9.45332893131736
"Winter",431644000,256.325420964172,-11.3733406756305
"Winter",431704110,156.890160854878,-8.17270155069688
"Winter",431797000,247.938387175303,-9.70731212366726
"Winter",440522000,211.679559089835,2.7572573025746
"Winter",440604000,221.948481252966,-2.08143041946147
"Winter",440654000,234.926277697897,-8.77088607594937
"Winter",440934000,236.37735329667,-10.2306762555146
"Winter",520238000,237.713317792632,-8.46581059068039
"Winter",600013448,207.950701994628,-7.384316476935
"Winter",367148380,199.39097868695,17.0829638379066
"Winter",367513810,206.111361223816,21.3165691639932
"Winter",416003700,227.190448076159,-8.74710638474443
"Winter",431329000,249.52693557055,-9.84930017316534
"Winter",431739000,247.474123572868,-10.120278710544
"Winter",432881000,243.242570856591,-8.68032161608176
"Winter",440952000,234.855576487049,-8.24457818123583
"Winter",441084000,236.763432205061,-3.91099825885084
"Winter",412328728,181.2135512312,4.21050884228519
"Winter",416002948,184.938494311148,-1.97337438245388
"Winter",416306430,190.06071537756,12.8042126657382
"Winter",431101210,246.691199757605,-11.312427231726
"Winter",431500990,151.929522204659,-11.5896671538072
"Winter",432942000,156.84932483069,-1.66306892943358
"Winter",440704000,241.24304756112,-9.65875934607168
"Winter",440772000,236.473971745416,-11.5680975734729
"Winter",440936000,221.144477872039,-3.95345468124629
"Winter",441014000,241.59402153199,-9.99886575914851
"Winter",441660000,234.65523135535,-11.9408574213126
"Winter",416002768,159.418641902778,5.42129854639001
"Winter",416002962,195.789136835302,9.6804848419566
"Winter",432962000,162.106270413941,3.45688809650822
"Winter",412420913,226.619861653207,-13.2107429498218
"Winter",412460299,231.924675045824,-11.1235138343371
"Winter",416118500,234.056274356541,-10.9607506560214
"Winter",416303000,221.279420612955,-7.00860270643124
"Winter",431380000,156.589932958322,-24.6782092966378
"Winter",431490000,248.811493684383,-10.051048187802
"Winter",431602530,247.580967863298,-11.2862329745642
"Winter",431700090,252.080756090867,-11.4729985307651
"Winter",431701710,250.366119357257,-10.1121384976337
"Winter",431704330,246.642909042388,-10.1000793722849
"Winter",440584000,199.342687282378,2.29839079429911
"Winter",440628000,222.93854711806,-5.83361849086068
"Winter",440786000,242.010901750222,-10.9110000912871
"Winter",440895000,201.95203208869,0.87495429482398
"Winter",440931000,236.970513879537,-9.89020241425507
"Winter",440946000,239.540751607754,-8.59590472499792
"Winter",441811000,208.141193600944,-0.759802883936933
"Winter",576093000,181.985413161178,-12.8401747116438
"Winter",576237000,176.275685527646,-14.9508998427732
"Winter",412420818,180.32501240859,17.3199927202938
"Winter",416004342,158.660145130058,15.3952860536545
"Winter",416219600,176.12640295171,11.554307284133
"Winter",416127900,187.762201943041,-12.0118215243254
"Winter",431200190,224.906194613918,14.9118218177474
"Winter",431424000,255.913254698316,-13.979512313081
"Winter",431893000,256.670885736643,-14.0688328921299
"Winter",432468000,250.200175223807,-11.3492365942451
"Winter",440641000,210.870298980241,-3.12858943901124
"Winter",416000029,188.170922010025,-11.0991705143637
"Winter",432411000,150.266634249181,-9.06620616662158
"Winter",440125000,238.60808215433,-11.1897216868293
"Winter",440298000,239.325783016696,-11.3308376552154
"Winter",440871000,238.864365578604,-10.9325093393759
"Winter",440894000,237.169018375006,-9.98296342186069
"Winter",440966000,236.550251286698,-10.6313204107162
"Winter",441038000,244.594095140198,-12.1252091542459
"Winter",441072000,238.646862815084,-6.33955281189329
"Winter",441825000,241.995943786191,-12.0381220639346
"Winter",416000246,153.466586270145,14.1453083897414
"Winter",416075700,152.129738591604,14.4889500593952
