"mmsi","Distance_A","Distance_B"
446,9370.65821679118,2134.07957963402
876,0,0
79050,534663.449987326,307654.09097042
92455,972985.513136521,523206.10222493
9107059,697069.476052528,267586.387069592
12000001,393442.850067405,41182.8809047217
41269518,455556.585871229,335742.53557954
98330340,1784830.55703968,381291.384656417
200004544,440631.018337986,155128.686382329
200005873,36136.7647986658,26992.1955937992
200008650,3489929.5869564,1492105.90267632
200012314,65501.2389187119,40902.8119215669
200015911,2098580.1818162,458679.946268822
200016052,1159288.74245167,124207.632135882
200016065,14249.7646400006,9742.21408604267
200016069,96735.6049480064,56005.4995294482
200020753,65733.5355487545,18434.8842558244
200020783,54621.0995761034,26179.3537823006
200020789,25531.9053535944,6426.93938900788
200020802,452458.960592448,102095.309486866
200021400,1161528.49331462,271748.358350641
200021405,207075.945544443,52865.0200544101
200021416,1917896.37952409,274274.403592814
200021422,69710.8025675813,31248.7869937133
200021444,1243814.75002497,113274.832769818
200023344,99529.7092182841,87545.7421197338
200023459,210304.62300076,71811.2269996585
200023608,47585.0176673648,32720.1098918934
200023914,856016.265142329,157975.036066843
200995958,35708.6948381708,22830.7256540718
201601251,418398.556775826,74811.2509200704
201601318,117119.760511774,49961.4212164806
201601321,197161.6301223,151191.909955213
201601542,1240726.04463175,224717.820064387
201706140,1212859.94674791,41098.0512371796
201707002,102860.389862682,21891.2260202682
205615410,3237217.36875502,577599.365616009
212121212,1140557.31048281,39829.5035286257
224015550,2092021.65356307,840249.331980152
224017000,1700170.82444191,1041594.74456716
224050000,2017762.54623426,894767.907818491
224051350,2228275.0830561,987798.586793149
224085000,939269.348956476,109794.888350005
224154000,2145452.02967584,439419.291483667
224156000,1468990.87197881,1242023.61224396
224166160,606137.61698621,215939.102786568
224196000,2930808.51900644,1399020.10866125
224256000,1209558.93978058,278864.524753456
224295000,2886197.06379765,1038612.77632277
224313000,1976486.53885599,1449215.53858373
224318000,2173063.60568471,609260.818015774
224342000,2081568.58435397,1441950.48575876
224366000,3335994.25578851,809706.096335099
224392000,2263059.81951565,387702.574580848
224456000,3263003.40295092,2022158.10583772
224544160,2434601.03973966,850947.57888923
224581000,3309387.03008003,1220167.06625715
224591000,2490746.41333395,2183990.62780704
224619000,2949100.00362713,1901810.19977789
224626000,2503632.78474242,1264608.9127948
224892000,1071339.9379356,344641.53894782
224900000,2812571.54558046,247274.771901376
224918000,3358613.32188452,1362678.9811399
224987000,3370235.68506907,577802.370182291
224992000,2635258.4473992,708691.184990494
225983597,2560346.04318764,900497.240718127
228966000,1373268.91887359,550129.592109143
261106453,92377.2906335846,11212.379295762
303114000,1425922.05341415,645691.802064309
303174000,991771.551135456,993341.135953088
303513000,300427.686167381,172400.548463327
303835000,859846.349707773,645445.2976399
338077000,474723.325799876,298299.561252726
338081000,412999.197960733,151381.99080171
338230234,15053.3868405878,0
354153000,379005.62914159,124257.551925081
359002003,2221421.52754513,962012.469764303
366135000,1390522.110237,918840.684032243
366721530,507140.304036475,305992.799647141
366827010,1551475.02819841,716309.874593862
366909880,1377937.81349022,854760.365657742
366920620,1416045.20945218,872368.560738819
366928330,315827.899166066,225298.788921826
366981180,1312070.61761072,694669.381699027
367003760,1525209.62793734,723593.93663762
367018980,1690942.94085732,741803.982472671
367045610,1124753.34490588,1100741.91913157
367045620,1407518.75143763,965367.660901869
367107220,2465542.64519356,517791.375115966
367107250,1810528.4343314,1112211.74220526
367111320,1338725.98152017,905557.715958499
367114110,1931923.09362063,1089632.98936985
367128410,1395166.93366164,844194.604204553
367128430,1566598.61942644,891315.475385648
367131270,263830.487860403,122405.824906629
367132820,948783.838522793,648743.763648854
367132830,1714850.06159589,627048.492120893
367135280,1919555.01599595,306718.892582556
367137680,1775871.86118781,691809.132609925
367140060,443326.313046807,215825.091137403
367140260,1819285.99147624,773214.142084674
367148380,1745207.30943028,684039.988366575
367150430,1180854.65667621,689144.921510336
367151660,1368742.07514325,877607.311550034
367152680,1422428.31990774,663160.575393933
367159690,1240092.27547748,666565.710026885
367161340,625605.169897298,291948.507072267
367163840,2292682.43652071,693136.024920337
367179270,1353759.31210129,1006862.68164833
367183810,1977440.08258872,732174.335538332
367306510,1292808.41815277,810202.895357196
367320820,1410071.56202604,935189.041755647
367330610,1561855.95339271,904510.935910463
367338850,1987848.6495196,892979.99549694
367341510,1187707.13412393,926781.83926664
367343000,2446233.37198778,1296029.32879236
367359000,1928527.71796249,550073.200933464
367361970,1438233.35306544,727857.965239383
367363390,1044385.45673755,323014.19117002
367370380,1204607.56932642,310815.753869157
367373170,356237.206269252,278148.858432939
367385940,1121579.12624062,515479.189897153
367387110,1361411.05303716,675828.495330419
367396870,924400.954163749,422220.320231678
367403980,670834.418744927,259972.288090879
367418820,2045707.67563379,921823.235539794
367423310,1439787.74045572,659232.636659578
367433150,1956050.25979172,808055.601535011
367439590,1472508.91004585,963228.958292021
367442170,1176869.88549953,912717.45696343
367445940,1036936.74230705,715884.150753237
367447140,252219.946180138,14063.2158944296
367449780,260700.320396022,129367.443448975
367460990,1392409.97207098,673292.647341789
367467330,1485889.379345,1084372.65793528
367471530,754970.828119751,275577.856633626
367477330,1351973.71054349,936548.8869588
367479170,1270090.34943458,610811.377253107
367479450,2136100.99652535,993619.52264583
367480150,1492196.1706173,769777.698878198
367482650,1646197.94262591,1020083.42737802
367485680,600890.483922563,333500.779756617
367490140,1858037.50442424,951906.277069367
367492480,1513419.51116598,955038.719838202
367511170,1160207.20347509,587029.831077612
367513810,2448437.04498397,783572.86999926
367514890,1984701.71596092,711160.54907882
367516940,1366372.61293781,553525.915631266
367523880,630249.19221445,506833.500977611
367556120,1751455.83756132,938053.714466039
367557620,1005535.12533402,712493.03425355
367568960,981089.791407602,603049.177617146
367571490,959334.644010783,650699.043430593
367578510,1290086.06833889,1013699.88029176
367581690,2253570.71227711,433624.821403132
367589370,151823.013250021,107949.275851688
367590390,1123037.73194248,593811.277510276
367593450,846365.615339986,304996.527392944
367598710,1380947.41273469,135169.953959159
367601630,934067.386030169,649685.363829203
367602730,1434032.79747115,1011605.89944845
367602740,1192532.53798415,951742.701528067
367602750,1305468.16314502,971441.78550316
367603420,1915847.43481542,692857.922635215
367604540,1684551.40150627,834604.904817395
367607880,1643345.21997286,689654.262454329
367638270,1933028.92763658,1057500.38640659
367638280,1421706.00290282,1158868.66920079
367639430,982322.390770382,794584.794378903
367645140,1753311.04555336,886900.371496939
367659170,1485537.5064194,987967.863795383
367662660,1176124.17889097,882316.584392523
367663880,2209053.58826127,801180.0708102
367667090,1073460.01447512,491309.826837283
367667630,2794708.2652595,374090.598274665
367682040,525193.309357377,86891.667726694
367692620,709734.748010893,454701.533287646
367699410,1265612.99673804,610842.650067296
367705430,1097925.0009342,746249.428203015
367707220,1873740.31483025,629858.713258051
367707290,1160623.75245268,1107385.64527557
367711550,1312688.84480945,428607.214598989
367716130,1567764.18447332,742486.924168654
367719270,708623.098501151,239429.598848585
367722830,1220592.28907118,813415.434606027
367729830,1584949.26564115,800979.152582558
367732990,1401688.42976015,762292.435341392
367733060,1517161.96561093,1038177.51602927
367738010,810668.344473805,541132.157318799
367743820,1002349.59440852,746720.556230327
367754830,1315104.64045772,947354.567808874
367755180,628888.288594754,374709.916007434
367755410,1387291.90853473,350788.050695947
367756070,1174401.5879513,726849.99178672
367761510,1065351.60502295,66535.7551758682
367762610,3039135.02973969,711897.956930097
367762810,1914924.3028571,788551.770664784
367776630,1716277.75246274,766192.545124412
367780410,2566388.14403158,16366.8989570451
367789570,1338051.27373289,936877.488601119
368001590,929610.425173688,418504.970424593
368144000,1858008.98200572,748047.992026321
368492000,625694.026331489,401055.31401379
369004000,1094111.87951733,401445.885841924
369059000,512150.652004537,314986.240781801
369060000,448392.875400602,236863.719139068
369188000,335046.074074999,152634.807635269
369189000,391151.846663779,104624.401658959
372702000,1126083.97498644,689782.174963569
412002142,1232522.30894306,311323.485604317
412004811,86556.040368568,25850.2908365261
412125400,40941.2142292944,26245.2530147766
412135586,940909.305453202,173783.202023359
412200078,1081303.12559554,546086.631270494
412200079,2293120.08556517,1189424.52166735
412200116,16051.7747492198,6414.26765250285
412201817,1258913.6398596,437435.861541485
412201818,903214.23018922,619054.763647843
412205130,2258407.681415,763267.831481786
412205140,3688240.20394664,631165.095184739
412205520,2773479.34007406,708098.061396412
412209076,4965748.63855077,1480725.37557536
412209077,4189521.67625266,866665.516744394
