"mmsi","Distance_A","Distance_B"
718,0,0
876,0,0
79050,322327.063509621,84589.4483292694
12000001,1651276.29625586,292639.414940673
32004580,371530.093497293,286941.479007748
33004580,441214.436464583,228618.804716563
98344746,3764967.92321114,953445.146410059
98345923,1482431.79396946,481672.201124328
100901039,670646.359680094,260261.344384564
100902573,1606847.67846026,308912.08856952
111111126,30640.6833799909,15662.5590868791
150443127,3424294.95979372,35702.6153287315
200000216,454974.246900891,71837.1178292115
200004544,670704.448244601,58204.1350286277
200005873,87500.9853319114,22523.6341370471
200008650,4141459.36603867,1935758.89948321
200012314,75089.4625780624,30048.2124951869
200015925,298998.243649156,140768.091160588
200016052,1028845.15867536,285161.07197566
200016065,63621.4816609815,37122.5068178209
200016069,81013.8373255868,63931.7997219398
200020753,70982.1473960936,43529.6668183212
200020783,100271.928611016,41069.6148353461
200020789,32671.0301479874,13372.6118751922
200021400,2365398.92478252,386871.932081766
200021405,794591.18873522,260984.066652236
200021422,1320621.21127658,138805.155915862
200021441,601166.551362137,374499.012106082
200023344,1038166.56999522,102144.536382099
200023437,2296843.84782034,502293.220442711
200023459,295171.469205124,178691.419930282
200023583,71754.7250440738,36365.4681931807
200023608,84301.2161692237,43385.8948238601
200033044,1645806.44049295,1247450.23973343
200041771,82622.0278755513,52119.0891958159
200042058,719703.840351566,202815.981351961
200042240,239741.436542895,95238.6248048432
200601254,46124.3927397432,17672.7352783169
200995958,71383.4271856303,51984.4550783404
201601318,151128.980233344,32971.1503303513
201601321,847278.764216117,329519.165288265
201601323,714688.452619904,189308.820383796
201601542,603734.486525227,117673.223814177
201601565,415412.778703055,78963.4563619642
201601665,1407750.89083141,143898.403638241
201700001,41181.1564757799,27826.0693041683
201707002,773044.254680075,489790.498953268
201941909,3534795.08368402,462097.325456572
224017000,3237184.61501573,1781585.55760384
224050000,2320461.13486814,827532.052036617
224051350,2228551.96293919,1726134.50121297
224063790,2280589.43801705,689551.160708671
224085000,953082.898346345,393698.136468726
224118000,3169866.7146695,978137.48687421
224122000,391329.145053238,63960.4182371303
224154000,1649553.35428996,572515.591896033
224156000,2566505.11505142,2126219.93897034
224166160,425732.688429387,167877.040495097
224196000,2901607.79843381,1616109.32015651
224256000,2351335.3757957,455928.306903227
224313000,1627888.66950733,667290.67544965
224318000,2411052.98926023,402387.811389923
224342000,2495620.86540267,713403.13162051
224366000,2179548.99041737,1853254.77183121
224392000,3349171.11617655,1232266.29856747
224406000,1843970.85681379,623840.369835925
224456000,2118187.14479783,1620242.90164295
224544160,3053733.16387665,1564104.91141103
224581000,2911624.60644354,1177821.90376215
224591000,1012349.78976535,277796.984615099
224619000,2793173.7472048,1688447.29174565
224626000,1575800.68903997,763863.244498634
224696000,1877652.5182914,625061.955963492
224892000,1672023.54409372,994629.446934026
224900000,1801104.84496532,573203.688233415
224918000,2880049.54887895,1207217.52880919
224987000,1226310.93310741,564550.866813657
224992000,3425833.94988674,1181600.85870011
225374000,541487.7739745,440379.907902349
225983597,2807165.01413,1112033.1967571
228227000,409572.019963521,165454.277360667
228966000,941652.754062068,522229.587135019
263580000,2654733.06798308,754049.453210444
263583000,2112106.62638493,798206.72895642
263821000,1336950.76739664,944047.638505183
268000015,686405.71015833,94228.4225936828
303114000,1120491.61622239,761770.472509069
303174000,1070024.27212328,567125.869530151
303513000,291842.12042542,99904.2050355601
303835000,653566.951915327,439005.682324126
321321362,578585.063755438,405528.939269063
338077000,291859.035036777,205707.189231821
338081000,355098.45318606,137966.593217736
338502000,678950.885825284,200966.655328302
354153000,1118893.88802603,409382.340586731
366135000,1454482.69179778,970664.76912237
366721530,1068345.4228009,656436.18055954
366827010,1263003.0595038,869542.30299867
366909230,1327743.28540617,403690.299052679
366909880,1702716.69370149,334597.695930902
366920620,1224653.95265987,865574.803593777
366928330,428015.623711334,229471.985065681
366937120,1444279.21038867,715883.73504095
366939000,1088370.75549134,806585.105097004
366981180,1513063.14590171,490875.358668622
